data_name,seed,nll,energy,pce_marginal,pce_mean,pce_variance,pce_dependency,pce_pca,pce_density,pce_cdf,mse
wage,0,0.5636981531977654,0.6886455118656158,0.12663488760590552,0.07680211067199708,0.09265467897057533,0.09581129737198353,0.11098062470555306,0.3926045328378677,0.12947514951229094,0.6848178505897522
wage,42,0.4239813968539238,0.7184522747993469,0.13221628069877625,0.09117019921541214,0.10297020114958286,0.10291331447660923,0.11830824911594391,0.4161875516176224,0.14665551036596297,0.7476125657558441
wage,866,0.21247658208012582,0.6997163414955139,0.1346820153295994,0.07631590813398362,0.08706405162811279,0.08831342756748199,0.1217055305838585,0.4354125916957855,0.14242093414068221,0.6985339462757111
wage,12,0.3315796211361885,0.703334778547287,0.1282116301357746,0.0773962389677763,0.10112885609269143,0.10437028259038925,0.1151798352599144,0.4262520968914032,0.12466921880841256,0.6981743633747101
wage,4,0.3322878167033195,0.7140339553356171,0.1275013841688633,0.08145842999219895,0.07755259200930595,0.0795847412198782,0.11447326764464379,0.42116512954235075,0.1407085068523884,0.7360432267189025
scm20d,0,7.661850273609161,2.292970061302185,0.05732780834659934,0.060700852889567614,0.10277503170073032,0.06031922157853842,0.03749792417511344,0.09441935177892447,0.06746356608346105,0.7785170003771782
scm20d,42,7.885043680667877,2.258664906024933,0.0695704985409975,0.07167907431721687,0.1516921790316701,0.07421955512836576,0.0365880960598588,0.09145006071776152,0.07899127993732691,0.7560555636882782
scm20d,866,7.379076361656189,2.2559674978256226,0.06503984658047557,0.06935206288471818,0.1331641748547554,0.05902664316818118,0.03501140419393778,0.08312468230724335,0.0690209548920393,0.757380485534668
scm20d,12,8.570093393325806,2.2762700617313385,0.07202866207808256,0.0801288764923811,0.1617805790156126,0.07746489811688662,0.03834247123450041,0.10773006174713373,0.0745777408592403,0.7736523449420929
scm20d,4,7.74487441778183,2.348863571882248,0.07497984170913696,0.08137732651084661,0.13429020904004574,0.07641514390707016,0.03644650289788842,0.07974756974726915,0.0742083266377449,0.8222637325525284
scm1d,0,6.073237948947483,1.8262989388571844,0.037639707119928464,0.03216124636431535,0.10631569723288219,0.07079277767075433,0.03568130772974756,0.07204171849621667,0.061293339977661766,0.4881548186143239
scm1d,42,6.288215001424153,1.865221169259813,0.0383147539363967,0.041505934877528086,0.08423626919587453,0.06775442593627506,0.03846240457561281,0.0703182357052962,0.04626224686702093,0.5344784326023526
scm1d,866,6.763944890764025,2.0331198109520807,0.047469677610529795,0.052002903487947255,0.09573408216238022,0.08040580443210071,0.04117064012421502,0.06664151615566677,0.057934588028324976,0.6423760851224264
scm1d,12,6.581535286373562,1.9892021152708266,0.04238462199767431,0.04456223857899507,0.09556398623519474,0.06614838085240787,0.03490245093901952,0.07552328374650744,0.04751082799500889,0.6159453590710958
scm1d,4,6.194821357727051,2.2049456437428794,0.05814920821123653,0.07091492952571975,0.07721067385541068,0.07709852895802921,0.04215395657552613,0.07799496956997448,0.06680773778094186,0.7544510033395555
wq,0,20.447919845581055,2.5599284172058105,0.1621043086051941,0.10420526564121246,0.32420623302459717,0.03977891802787781,0.08472783863544464,0.36882075667381287,0.2428520917892456,1.0001676082611084
wq,42,21.151521682739258,2.5054361820220947,0.17552007734775543,0.12894511222839355,0.34454256296157837,0.019129974767565727,0.09503093361854553,0.42533019185066223,0.246861532330513,0.9506638050079346
wq,866,22.603538513183594,2.738307237625122,0.1531887799501419,0.12432628124952316,0.3629717230796814,0.024110917001962662,0.0898873507976532,0.40471696853637695,0.2445501983165741,1.147580862045288
wq,12,8534.3046875,2.5592966079711914,0.18112076818943024,0.12790022790431976,0.3613545894622803,0.023131314665079117,0.09849431365728378,0.4378773272037506,0.2466728538274765,0.9810603260993958
wq,4,193.67379760742188,2.656841993331909,0.166233092546463,0.09926623851060867,0.350566029548645,0.042264144867658615,0.09681957215070724,0.4117452800273895,0.2449275702238083,1.0780878067016602
scpf,0,-6.21183443069458,0.21446998417377472,0.1729101836681366,0.15644171833992004,0.11932115256786346,0.07361607998609543,0.15359064936637878,0.3530184030532837,0.145030215382576,0.18822753429412842
scpf,42,-5.001265048980713,0.2496923804283142,0.15286724269390106,0.10715055465698242,0.11869128048419952,0.07063914090394974,0.12657037377357483,0.3338630497455597,0.1171271800994873,0.138091579079628
scpf,866,-4.572073936462402,0.5206511616706848,0.14342302083969116,0.13304221630096436,0.10833972692489624,0.07544219493865967,0.10342729091644287,0.35290855169296265,0.11938467621803284,1.0202653408050537
scpf,12,-3.363490581512451,0.8710858821868896,0.14032140374183655,0.12669578194618225,0.1253896951675415,0.0676511824131012,0.09120315313339233,0.3596440553665161,0.11255040019750595,4.400989055633545
scpf,4,-4.439234733581543,0.5538493394851685,0.1207289844751358,0.1041656881570816,0.12806405127048492,0.08080057799816132,0.09766485542058945,0.36435529589653015,0.09649772197008133,1.2115442752838135
meps_21,0,-2.069525919854641,0.3850807957351208,0.05667883832938969,0.04689906188286841,0.057830181904137135,0.040459502837620676,0.03486469236668199,0.2251307861879468,0.061281779082491994,0.6266753524541855
meps_21,42,-1.967518076300621,0.3698408957570791,0.07657688250765204,0.05422356352210045,0.04927854659035802,0.034025704371742904,0.04128664161544293,0.2411424033343792,0.05622567143291235,0.6107344273477793
meps_21,866,-1.6796351969242096,0.40474181063473225,0.09301547426730394,0.08788208803161979,0.05056074354797602,0.03845109837129712,0.0720791844651103,0.19740491267293692,0.10878007020801306,0.7187975440174341
meps_21,12,-1.835008218884468,0.3813366200774908,0.07874586759135127,0.05000724410638213,0.05192257650196552,0.03620543924625963,0.040139423217624426,0.23630753345787525,0.058243031380698085,0.5727592781186104
meps_21,4,-1.6976446732878685,0.4299357980489731,0.06808911706320941,0.0622692306060344,0.052305899327620864,0.03593585325870663,0.04282982158474624,0.2140950057655573,0.07543993555009365,0.7606492694467306
meps_19,0,-1.8685783371329308,0.39177725091576576,0.06604639603756368,0.047243879991583526,0.05278191855177283,0.040761939133517444,0.039235471398569643,0.22928078193217516,0.05541265429928899,0.7090605292469263
meps_19,42,-1.9197723343968391,0.3753179833292961,0.06902997056022286,0.0534019471378997,0.04934684024192393,0.03283633093815297,0.037465561530552804,0.22244485467672348,0.06743532558903098,0.6052807085216045
meps_19,866,-1.8604681268334389,0.3934844918549061,0.08748925849795341,0.06435123644769192,0.052741547115147114,0.03819255891721696,0.04603829816915095,0.2294323081150651,0.09026712528429925,0.6315928343683481
