data_name,seed,prerank,pce,nll,energy,mse,train_time_seconds,epochs_trained,best_epoch
house,42.0,mean,0.1186334753166074,13.58529002899709,0.5123046960519708,0.4556555735028308,417.3190665210132,213.0,197.0
house,866.0,mean,0.1171193382014399,1.1430968123933545,0.609586951525315,0.5981741107028463,81.0556450469885,41.0,25.0
house,12.0,mean,0.1185542591240095,6.2395875907462575,0.5006917974223262,0.4421197357385055,482.951632463024,253.0,237.0
house,4.0,mean,0.1228889962253363,0.493601100600284,0.522256270698879,0.4858546010825945,489.6447683420265,249.0,233.0
bio,0.0,mean,0.0332004069441966,-0.9051854259827558,0.2231086469164081,0.255388507363843,1540.5167229560902,495.0,479.0
bio,42.0,mean,0.0312168353839832,-0.6154780770633735,0.2641282481890099,0.7656496487119618,1105.228070976911,343.0,327.0
bio,866.0,mean,0.0289095186573617,-0.6683555484986773,0.2389193884297913,0.3349889000402946,659.957201544079,210.0,194.0
bio,12.0,mean,0.0329704781738566,-0.4842305861267389,0.2577709839040157,0.3769852202020439,207.2198885360267,68.0,52.0
bio,4.0,mean,0.0292059477126481,-0.7625597274186564,0.234991112760469,0.2486946249709409,928.7760091699892,305.0,289.0
blog_data,0.0,mean,0.0605232468727281,-0.6052018222162279,0.6264765484858368,0.7337922373060453,331.577857592958,91.0,75.0
blog_data,42.0,mean,0.0649153892645391,-0.5199750248911017,0.6350833521050921,0.8886453943737482,384.8355381420115,94.0,78.0
blog_data,866.0,mean,0.0640530333680621,-0.5468219703031798,0.6495422943163727,0.8774729709504014,299.0611526330468,73.0,57.0
blog_data,12.0,mean,0.0891249674861714,-0.4324779513023667,0.6253717440669819,0.768455987259493,294.52521208301187,73.0,57.0
blog_data,4.0,mean,0.0689311941170086,-0.6522656254849192,0.6347615092487658,0.7883515954017639,448.504525389988,111.0,95.0
calcofi,0.0,mean,0.0663632485045104,0.5724301711977029,0.4198347250578784,0.3304166444146833,4480.040994129027,87.0,71.0
calcofi,42.0,mean,0.068268648293965,0.5789964697441133,0.420292353554934,0.3311265104395501,2435.2067233349662,63.0,47.0
calcofi,866.0,mean,0.0632099351481761,0.5728407450834242,0.4203732996365102,0.3318920294370721,2970.269409078057,65.0,49.0
calcofi,12.0,mean,0.0667810563483283,0.5639385374090752,0.4185418989039769,0.3280568259666447,3698.563336474006,82.0,66.0
calcofi,4.0,mean,0.0667875466101309,0.5667404132824736,0.4212877294596504,0.3335137900372012,5308.414402256953,114.0,98.0
ansur2,0.0,mean,0.080378707498312,1.7326838970184326,0.5314889848232269,0.3657485246658325,138.63510860898532,127.0,111.0
ansur2,42.0,mean,0.0651493463665247,1.7519696354866028,0.529997318983078,0.3640722036361694,158.2762007259298,152.0,136.0
ansur2,866.0,mean,0.0861590020358562,1.810564935207367,0.5443558394908905,0.3971015214920044,140.32556989393197,134.0,118.0
ansur2,12.0,mean,0.1044074259698391,1.8134917616844175,0.5486035645008087,0.3899462223052978,130.8006505779922,124.0,108.0
ansur2,4.0,mean,0.0595270320773124,1.7109516263008118,0.5128435790538788,0.349494993686676,140.56309222988784,126.0,110.0
taxi,0.0,mean,0.0724552620202303,1.6742012313434056,0.6839780202933721,0.7974357349531991,794.656912222039,179.0,163.0
taxi,42.0,mean,0.0687634156218596,1.7124851618494306,0.7031656324863433,0.8421561411448888,889.239240857074,207.0,191.0
taxi,866.0,mean,0.0681695201567241,1.6835506677627563,0.6906184230531965,0.8125225050108773,752.0082663620124,175.0,159.0
taxi,12.0,mean,0.0739579120916979,1.7146096927779062,0.6960022636822292,0.8265162519046239,947.7518044949976,220.0,204.0
taxi,4.0,mean,0.0696541919239929,1.7039811781474523,0.7006440145628793,0.8468606957367488,1089.8511997120222,262.0,246.0
households,0.0,marginal,0.0864650011062622,3.372836510340373,0.9530554711818696,0.650857001543045,139.73934412910603,125.0,109.0
households,42.0,marginal,0.1009311204155286,3.1947077910105386,0.938945174217224,0.6473092138767242,133.16932035202626,115.0,99.0
households,866.0,marginal,0.1003910539050896,3.184825380643209,0.921905924876531,0.6317848265171051,158.04769823199604,129.0,113.0
households,12.0,marginal,0.0958853823443253,3.16268781820933,0.9150999089082082,0.6075647870699564,145.40226215997245,120.0,104.0
households,4.0,marginal,0.0957166664302349,3.212130347887675,0.9000019431114197,0.6044528583685557,165.39613404299598,128.0,112.0
air,0.0,marginal,0.0971573300659656,5.675500965118408,1.422970712184906,0.9892509758472444,184.23908736393787,129.0,113.0
air,42.0,marginal,0.099280771613121,5.588666009902954,1.3906091094017028,0.9190268099308014,171.3080996639328,122.0,106.0
air,866.0,marginal,0.0919115573167801,5.386965560913086,1.3416643261909484,0.8120614528656006,164.99901276198216,117.0,101.0
air,12.0,marginal,0.0932266645133495,5.774096298217773,1.4073710441589355,0.9140857338905336,204.8669310369296,145.0,129.0
air,4.0,marginal,0.1007095292210578,5.533805799484253,1.429128873348236,0.9583837747573852,210.91383034095637,148.0,132.0
births1,0.0,marginal,0.0848439686000347,1.031368947029114,0.7014705538749695,0.8513527333736419,149.11059326503891,109.0,93.0
births1,42.0,marginal,0.092543588578701,1.2011192083358764,0.717509263753891,0.8727620065212249,164.8494019289501,120.0,104.0
births1,866.0,marginal,0.068821295723319,1.25381019115448,0.7182515025138855,0.8484003394842148,215.47247998893727,158.0,142.0
births1,12.0,marginal,0.0879438012838363,1.156366276741028,0.7021162688732148,0.8139223873615264,167.34721521101892,121.0,105.0
births1,4.0,marginal,0.0684430699795484,1.3142273426055908,0.7190566480159759,0.8576959073543549,221.3782038020436,162.0,146.0
births2,0.0,marginal,0.1898417264223098,-4.774621200561524,0.9410139322280884,1.0103969007730484,331.37880248902366,234.0,218.0
births2,42.0,marginal,0.2053630694746971,-5.256670570373535,0.8563437104225159,0.7042841136455535,378.3808539659949,271.0,255.0
births2,866.0,marginal,0.1671557426452636,-4.9814468145370485,0.8756403028964996,0.8202547743916512,294.9984474910889,210.0,194.0
births2,12.0,marginal,0.1716843023896217,3.6243368268013,0.8669670343399047,0.8238394320011139,147.5602964949794,104.0,88.0
births2,4.0,marginal,0.1789522737264633,-3.801397728919983,0.9410558104515075,0.8427076280117035,210.48819686099887,146.0,130.0
wage,0.0,marginal,0.1341029867529869,0.4023170597851276,0.6991989612579346,0.702562826871872,73.26254649704788,52.0,36.0
wage,42.0,marginal,0.1333158448338508,0.4398116856813431,0.7330113172531127,0.7590029299259186,81.39875958103221,57.0,41.0
wage,866.0,marginal,0.1343440435826778,0.3340600699186325,0.7020442306995391,0.7030511379241944,74.68040175293572,52.0,36.0
wage,12.0,marginal,0.13057292252779,0.1377986874431371,0.6825951099395752,0.6715184032917023,84.40327433007769,59.0,43.0
wage,4.0,marginal,0.1311725124716758,0.5517587631940841,0.712484210729599,0.7347053050994873,86.06310374406166,59.0,43.0
