data_name,prerank,pce,energy,nll
scpf,mean,0.06224604323506355,0.23715978860855103,-6.2278289794921875
scpf,variance,0.1482691466808319,0.23966725170612335,-6.2278289794921875
scpf,dependency,0.03484760597348213,0.23984692990779877,-6.2278289794921875
scpf,pca,0.0782696008682251,0.236150324344635,-6.2278289794921875
scpf,density,0.022980455309152603,0.23878975212574005,-6.2278289794921875
scpf,cdf,0.03381059691309929,0.23228630423545837,-6.2278289794921875
meps_21,marginal,0.05614923359826207,0.39809590205550194,-1.9730725958943367
meps_21,mean,0.026019784854725003,0.3953829985111952,-1.9730725958943367
meps_21,variance,0.05806513992138207,0.39445847272872925,-1.9730725958943367
meps_21,dependency,0.03582799527794123,0.3958588521927595,-1.9730725958943367
meps_21,pca,0.026076748385094106,0.39677078276872635,-1.9730725958943367
meps_21,density,0.021233831124845892,0.396543825045228,-1.9730725958943367
meps_21,cdf,0.02563209884101525,0.3944685496389866,-1.9730725958943367
meps_19,marginal,0.05246444791555405,0.4189616460353136,-1.736273318529129
meps_19,mean,0.03017820348031819,0.4199978467077017,-1.736273318529129
meps_19,variance,0.05397080956026912,0.41802201606333256,-1.736273318529129
meps_19,dependency,0.030011460301466286,0.4195362124592066,-1.736273318529129
meps_19,pca,0.03156932059209794,0.4185704439878464,-1.736273318529129
meps_19,density,0.0203754028188996,0.4186043832451105,-1.736273318529129
meps_19,cdf,0.03182868426665664,0.4196159690618515,-1.736273318529129
meps_20,marginal,0.059547863279779754,0.41915705965624916,-1.810969306363
meps_20,mean,0.027583575962732237,0.4222600741518868,-1.810969306363
meps_20,variance,0.05440608784556389,0.42136559387048084,-1.810969306363
meps_20,dependency,0.02998561877757311,0.4228456947538588,-1.810969306363
meps_20,pca,0.03090064786374569,0.42362255023585427,-1.810969306363
meps_20,density,0.02414195105019543,0.4214836657047272,-1.810969306363
meps_20,cdf,0.030434632984300453,0.4231257289648056,-1.810969306363
house,marginal,0.026350032133252724,0.6557668577069822,1.5503022722575976
house,mean,0.040034083244593247,0.6559637240741564,1.5503022722575976
house,variance,0.03804918402886909,0.6561888093533723,1.5503022722575976
house,dependency,0.037311074647890484,0.6562242637509885,1.5503022722575976
house,pca,0.03509728513334109,0.6554192563761836,1.5503022722575976
house,density,0.02808938082307577,0.6544436190439307,1.5503022722575976
house,cdf,0.025439208535396534,0.6558658558389415,1.5503022722575976
bio,marginal,0.020233195256807057,0.23076052262502558,-0.789882385263256
bio,mean,0.02176826357768447,0.2301589910890542,-0.789882385263256
bio,variance,0.024377863881561684,0.23027590647632,-0.789882385263256
bio,dependency,0.023304346291457907,0.23068807376366035,-0.789882385263256
bio,pca,0.021991757548176775,0.23008149949943318,-0.789882385263256
bio,density,0.02197340001151258,0.2296285068287569,-0.789882385263256
bio,cdf,0.023982390651808065,0.23002539399792166,-0.789882385263256
blog_data,marginal,0.06043406032909781,0.6252968270899886,-0.7183161228895187
blog_data,mean,0.02489494106148259,0.6257903687024521,-0.7183161228895187
blog_data,variance,0.03653655801031549,0.6224763140840045,-0.7183161228895187
blog_data,dependency,0.03551054970061375,0.6257791842444468,-0.7183161228895187
blog_data,pca,0.02672212963955382,0.6257222052347862,-0.7183161228895187
blog_data,density,0.021303887550040323,0.6237538345789505,-0.7183161228895187
blog_data,cdf,0.022753902726759343,0.6242050518423824,-0.7183161228895187
calcofi,marginal,0.019915739177068806,0.41993691352736046,0.5705998939688967
calcofi,mean,0.020170913452082977,0.4200888606054442,0.5705998939688967
calcofi,variance,0.020680959043464772,0.4198910438713907,0.5705998939688967
calcofi,dependency,0.020494836369361103,0.419982579732392,0.5705998939688967
calcofi,pca,0.01980107050670796,0.42000029248600246,0.5705998939688967
calcofi,density,0.024276109712644472,0.4201102217643702,0.5705998939688967
calcofi,cdf,0.02028653321165529,0.4202247417899741,0.5705998939688967
ansur2,marginal,0.04044213518500328,0.5321342945098877,1.778059959411621
ansur2,mean,0.04616152122616768,0.5347466468811035,1.778059959411621
ansur2,variance,0.024419131688773632,0.52732053399086,1.778059959411621
ansur2,dependency,0.023300888016819954,0.5350498855113983,1.778059959411621
ansur2,pca,0.03464725147932768,0.5287460088729858,1.778059959411621
ansur2,density,0.01911415485665202,0.528030514717102,1.778059959411621
ansur2,cdf,0.04055554885417223,0.5314186215400696,1.778059959411621
taxi,marginal,0.022146823895829063,0.6844723207609994,1.6750858272824969
taxi,mean,0.0233269838749298,0.6854264072009495,1.6750858272824969
taxi,variance,0.02564967850755368,0.6857263837541853,1.6750858272824969
taxi,dependency,0.022429131703185185,0.6843842744827271,1.6750858272824969
taxi,pca,0.02114416608320815,0.6851274056094033,1.6750858272824969
taxi,density,0.020719067672533648,0.6845480688980647,1.6750858272824969
taxi,cdf,0.023412108288279602,0.6848453836781638,1.6750858272824969
